tradition,"전통,전통,전승"
usage,"관습,관습,언어용법,사용량,대우"
institution,"학회,그건물,법령,제정,성직수임"
exertion,"노력,매우힘든일"
feature,"특징,주안점,얼굴의어느한부분,용모,볼거리,장편영화"
disguise,"변장시키다,분장,가면,가장복,구실"
congress,"국회,회기"
germ,"세균,기원,생식세포"
algebra,대수
geometry,"기하학,기하학연구,평면도형,외형"
sojourn,"묵다,체재하다"
expedition,"원정,여행"
definition,"한정,명확"
issue,"발행물,발행부수,발행,하구,유출물,논쟁"
conflict,"투쟁,알력,극적대립"
disaster,"재해,불행,실패작,엉망진창인것"
focus,"초점,초점정합,진원,초점을맞추다,분명하게맞추다,집중하다"
budget,"예산,가계"
intercourse,교제
ceremony,"의식,격식차림"
regret,"유감,후회,애도"
enterprise,"기획,계획,모험적인사업,기업경영"
ravage,"파괴,파괴의맹위,…을상하게하다"
tragedy,"비극,비극,비극의여신,비극적사건"
miser,구두쇠
muscle,"근,영역을침범하다"
unemployment,"실직,실업률"
arithmetic,"산수,산수책,계산"
skill,"솜씨,숙련,익숙함,문제가되다,도움이되다"
instrument,"기계,매개"
equator,적도
structure,구조
mode,"방법,음계,유행"
aristocracy,"귀족정치,귀족정치의나라,상류계급"
wage,"임금,급료"
zeal,열심
trial,"n.,공판,어려운상황"
burden,"반복구,장단맞추는노래,무거운짐,짐나르기,부담"
tribe,"부족,패거리"
realm,"왕국,국토,권"
fright,"공포,소스라쳐놀람"
demand,"요구하다,묻다,청구"
supply,"공급하다,공급하다,충족하다,나긋나긋하게,온순하게"
intelligence,"지능,정보수집"
frame,"창틀,틀,테,테두리,테두리틀,자수틀,세광반,식자대,프레임,체격,여자의몸매,차체,늑재,회,한게임"
hobby,"새호리기,취미,장기"
source,원천
twilight,"여명,어스름,중간상태"
fever,"열,열광,흥분시키다,열망하다"
relief,"제거,원조물자,기분전환거리,교체자,부조"
refuge,"피난,보호,안전지대,핑계"
experiment,"실험,해봄"
expense,"지출,수당"
reliance,신뢰
grief,"큰슬픔,고통"
effect,"결과,효력,효험,의성음발음기,감명,효과,물품,개인자산"
scope,"스코프,범위,시야,지역"
habit,"관습,경향,의복"
defense,"방어,방어시설,수비,변호,피고측"
aviation,"비행,비행술,항공기산업"
navigation,항해
resource,"자원,원천"
cruelty,잔학
negligence,"태만,부주의,무관심,과실"
bliss,더없는기쁨
delay,"늦추다,시간이걸리다,유예"
contact,"접촉,연락,연고,상접,접전,지상관찰,교신"
poison,"독,해로운주의,독살하다"
awe,외경
nutrition,"영양물섭취,영양,영양물"
obligation,"의무,양심의명령,채무증서,채무"
reward,"보수,보답하다"
peer,"동등한사람,동배,대등한사람,상원의원,자세히들여다보다"
controversy,"논쟁,논전"
material,"재료,인재,유형의"
nationality,"국적,선적,국민성,국가적독립,국가"
majority,대부분
personality,"개성,인격,인간적매력,자기,인간임,명사"
region,"지방,지대,영역"
clue,"실마리,단서,퍼즐의열쇠,실마리,도표"
parliament,"의회,하원,국회회기"
government,"정치,이사회,지배"
oath,"맹세,서언,선서,공식적인진술,단언,모독적인표현,욕설"
revenue,"세입,수입의출처,수입항목"
explanation,"설명,해석,해명,설명이되는말,화해"
minister,"성직자,비국교파목사,외교사절"
obstacle,장애
majesty,"위엄,장엄,폐하"
globe,"구,천체,지구의"
pressure,"누르기,밀어닥침,압도,전압,압박감,곤경"
standpoint,"견지,보기위해서있는장소"
monument,"기념비,비길데없는것"
opponent,"적수,길항적인"
fiction,소설
detail,"세부,지엽적인일,상세한설명,상세,상세도,특별임무,열거하다"
solution,"해결,해법,해답,붕해"
maximum,"최대한,극대의"
communism,"공산주의,공산주의이론"
tide,"일어나다,조수,간만,홍수,바다,해수,최악기,…절,교구의축제일,휴일"
honesty,"정직,공평"
brute,"짐승,지겨운놈,육욕의,야만적인"
beast,"짐승,그리스도의적,육우"
inspiration,"영감,영감에의한착상,신통한생각,격려가되는사람"
harm,"해,불편"
taste,"미각,멋,조심,기미"
independence,"독립,독립심"
engagement,"약속,고용기간"
rank,"계급,고위,상류사회,횡렬,횡대로줄지은병사,군대,하사관,무성한,맛이고약한,부패한,지독한"
glacier,빙하
prairie,"대초원,소택지"
cradle,"요람,요람지,수화기대,선가,진수대,이동대,포가,와인받침,틀을덧댄낫"
incident,"일어난일,우발적사건"
disillusion,"…의환영을깨우치다,환멸"
election,"선거,선정,선임,당선"
gesture,"기미,몸짓으로신호하다"
warfare,전쟁
adventure,"모험,모험심,모험,감히말하다"
resort,"의지하다,잘가다,많은사람의모임"
situation,"위치,집터"
emigrant,"이민,이민의"
historian,"역사가,연대기편자"
creature,"창조물,마소,노예,정체불명의생물"
victim,"희생자,봉"
delight,"기쁨,즐거움,즐기게하다,…에게즐거움이되다"
decay,"부식하다,벌레먹다,타락하다,썩게하다,쇠미,충치,자연붕괴,감속"
admiral,해군대장
colony,"식민지,동부13주의영국식민지,식민도시,정복식민지,…인거리,그주민,콜로니"
philosophy,"철학,냉정,달관,인생철학,주의"
treasure,"보물,금은,귀여운너,간수해두다"
admiration,감탄
flesh,"살,살집,짐승고기,육체,육친,수성,생물,피부색,실지로시험해보다"
conduct,"행위,호송,실시,각색,처신하다"
aspect,"양상,태도,별의상"
anniversary,"기념일,기념제,주년제,해마다의,연제의"
laboratory,"실험실,화약제조소"
cell,"셀,작은방,감방,구멍,반,작은공동,묘"
area,"범위,부분,행정구획,연구분야,평수"
symbol,상징
assent,"동의하다,양보하다,인정,묵인,굴종"
manuscript,"원고,사본의"
mechanism,"기계장치,기계작용"
scent,"냄새,향내,단서,직각력,냄새를맡아내다"
donation,"기부,기증물"
miracle,기적
continent,"자제심있는,대륙,육지,본토,북미대륙"
horror,공포
essay,"수필,소론,평론,시험하다"
armament,군비
fable,"우화,객쩍은이야기,꾸며내다"
maxim,"격언,처세훈"
perspective,"원근법,원근도,내다보는힘,시각"
income,수입
fortune,"부,재산,번영"
aid,"돕다,원조,구원"
fuel,"연료,식량,동력에너지원,야기시키는것,약오르게하다"
sigh,"한숨쉬다,애석해하다,탄식,산들거리는소리"
furniture,"가구,장비품,의장용구,내용"
shelter,"피난처,은신처,오두막,대합실,수용소,피난"
view,"봄,전망도"
navy,해군
inability,"무능,…할수없음"
territory,"영토,속령,영역,관할구역,텃세권,경기장의수비구역"
imitation,"모방,모조,위조품,모방작"
alternative,"둘중에서의선택,선언적인"
foliage,"잎,군엽"
preface,"서문,시작하다"
review,"평론,평론잡지,관찰,연습문제,열병"
mischief,"장난,까붊,장난꾸러기,손해,악영향,고장"
departure,"출발,발차,경선거리"
surface,"표면,외부,평면,첫인상,갱외의"
funeral,"장례의,장의행렬,고별식,죽음"
ignorance,"무지,무학,부지"
popularity,"인기,유행,서민성"
pace,"걸음걸이,속도,측대속보,왔다갔다하다,…에게는실례지만"
merchandise,"상품,재고품,광고선전하다"
space,",공간의,우주탐사용의,구분하다"
predecessor,"전임자,선배"
soil,"더럽히다,타락,때,생초를먹여살찌게하다"
hospitality,"환대,접대용의"
trait,"특성,기미,소량"
traitor,반역자
puzzle,수수께끼
riddle,"수수께끼,알수없는것,수수께끼를걸다,어레미"
solace,위안
vision,"시력,시야,관찰,미래상,선견지명,환각"
treachery,"배반,배반행위,불안정한것"
pasture,"목장,목장으로쓰다"
renown,명성
vessel,배
specimen,"견본,예"
trace,"봇줄,자취,흔적,증적,영향,스케치"
slumber,"자다,선잠자다,선잠"
harvest,"수확,채취,수확량,채취하다"
tact,"재치,재주,촉각"
element,"요소,전극,폭풍우,고유한활동,최소단위의편대,초보"
pang,격통
flaw,"돌풍,흠,흠가게하다,무효화하다"
riot,"폭동,분방,한바탕웃을만한일,떠들다"
folk,"사람들,양친"
temperance,"절제,자제"
garbage,음식찌꺼기
mob,"폭도,군중,민중,폭력단,떼지어환호하다"
adult,"어른의,성인용의,성인이된,성년자"
temperament,기질
expansion,"확장,발전,확대,거래의확장,영토확장,신장"
output,"생산,냄,산출량,채광물,생산품,출력,수확,출력하다"
glance,"흘긋봄,눈짓,빗대어빈정거리는말,대강훑어보다,휘광"
vein,정맥
conclusion,"결말,끝,종국,결정,결론,최종변론"
revolt,반란
pessimistic,비관적인
reverie,"몽상,공상,백일몽"
mixture,"혼합,혼합가스"
outcome,"결과,과정,성과"
expert,"숙련가,전문가,상급사수,전문가로서연구하다"
project,"계획,자습과제,추정하다,상상하다"
consequence,"결과,영향,사회적중요성,결론,위엄"
rapture,광희
pioneer,"개척자,선구자,개설하다,솔선하다,지도하다"
revenge,"복수,보복,설욕의기회"
amount,"총액,원리합계,도달하다"
repose,"두다,휴식,수면,휴양,침착,영면하다"
author,"저자,입안자,기초자,창시하다"
audience,"청중,관중,청취자,독자,청취의기회"
throne,"왕좌,왕위,국왕,하느님의자리"
outlook,"조망,가능성,시야,개관,망보는곳,망보는사람,노려보다"
expression,"표현,말씨,발상,발현"
benefactor,"은혜를베푸는사람,기부자"
suburb,교외
apology,사과
proposal,"신청,제안,계획"
phase,"상,측면"
male,"남자,수컷,웅성식물,수컷의"
relish,"맛,독특한맛,맛보기,감상,기호,기미,기쁘게생각하다"
motive,"동기,진의,운동의"
summary,"요약,적요,간략한"
plot,"음모,책략,작당하다,작은구획의땅,좌표에따라정하다,점을이어그리다"
relic,"유물,시대에뒤떨어진사람"
bronze,"청동,햇볕에태우다"
status,"지위,높은지위,신분"
mystery,"직업,신비,비밀,호기심을북돋우는사람,신비적사건"
treason,반역
trifle,"하찮은것,소곡,그것으로만든물건,경시하다"
trend,경향
spectacle,"광경,쇼"
statue,상
cliff,낭떠러지
trap,"휴대품,세간,성장시키다,발판"
sermon,설교
imagination,"상상,상상력,감상력,상상의산물"
omen,"전조,예시하다"
diameter,지름
effort,"노력,운동,훌륭한연설"
adversity,역경
snare,"덫,실패의원인"
satisfaction,"만족,소원성취"
estate,"소유지,재산권"
orator,"연설자,웅변가"
plea,"탄원,기도,답변,소송"
meadow,목초지
shortage,부족
activity,"활동,활동범위,정상적인움직임"
stage,"단계,배우업"
decree,"법령,결의,교령집,계율,판결을내리다"
myth,신화
hazard,"위험,모험,위험요소,불확실함,운에맡기고해보기"
pattern,"무늬,종이본,과녁위의탄환자국"
fluid,"유동성의,수분"
union,"결합,병합,부부관계,융화,구빈원,연합교회,영국국기"
disciple,문하생
playwright,각본작가
truce,휴전
cave,"경계,동굴,종유동,함몰시키다"
feat,"적당한,교묘한,위업,공"
forest,숲
friction,마찰
digestion,"소화,동화흡수,동화력,침지"
verse,"운문,…에정통하다"
counsel,"상담,의도,권고하다"
token,"표,특징,표시,증거품,메달,식권,서적구입권,현현"
value,"가치,유용성,대가,가격평가"
flavor,"풍미,향미료"
transition,"변천,전조,장면전환,전이"
pause,"중단하다,잠시멈추다,기다리다,주저하다"
heathen,"이방인,이방인들,이교도들,이교도,미개인,교양이없는사람,미개의"
worth,"일어나다,…의가치가있는"
heretic,"이교도,이설을주창하는사람"
fund,"기금,예금,소지금"
bait,"미끼를달다,곯리다"
range,"열,잇닿음,분포구역,서식기,물의깊이,시계,지식범위"
orientation,"적응,적응지도,오리엔테이션,동쪽을찾아내기,방위측정,지향,상황판단,태도,정위"
elegance,우아
masterpiece,걸작
stature,"키,사물의높이,재능,달성"
retort,"레토르트,반박하다,보복하다,말대꾸하다,반박"
metropolis,"주요도시,수도"
layer,"층,계획자"
volume,"책,권,권,용적,…고"
testimony,"증언,증거,증거판"
haven,항구
research,연구
spot,"반점,점,나올차례"
seed,"씨,괴경,어정"
drudgery,천역
reverence,"경외하는마음,경의,경례"
summit,정상
crust,"빵껍질,굳어진빵한조각,양식,갑각,지각,얼어붙은눈의표면,버캐,때,겉치레"
boss,"n.,암소"
agony,"심한고통,몸부림"
wisdom,"현명,분별"
propriety,"예의바름,예의,적당"
physics,"n.pl.물리학,물리적현상"
timber,"모피의한묶음,재목,숲,조선용목재,다리"
planet,"행성,사제가입는소매없는제복"
design,"디자인,무늬,구조,설계하다"
lung,폐
leisure,"자유시간,레저용의"
organization,"조직,계통화,질서,유기적구조,관리기관,경영진"
republic,"공화국,공화정체"
prosecution,"기소,속행"
torture,고문
cottage,"시골집,작은주택,작은별장"
castle,"성,요새의핵심부,더블린성,성장말로왕을지키다"
conference,"협의,경기연맹"
tomb,"무덤,납골당"
fault,"결점,비행,위반,장애,누전"
magic,"마법,불가사의한힘,매력,마법의,매력있는,요술의,굉장한"
aim,"겨누다,빗대어말하다"
sword,검
risk,"위험,모험,보험금,피보험자,위험분자,모험하다"
tool,"연장,공작기계,그압형,압형하다"
weapon,"무기,공격기관"
vehicle,"탈것,부형약"
peculiarity,특색
contest,"경쟁,다툼,경쟁하다"
favor,"호의,청,우세,유리,기념품,회원장,몸을허락하는것"
mankind,"인류,인간"
draft,"밑그림,초안,설계도,통풍,통풍장소,마시는양,흡인,한번의공기,떼에서분리한가축무리"
bomb,"폭탄,원자폭탄,분무기,대성공"
nerve,"신경,기력,체력,겁,우울,신경과민증,미묘한점,신경"
chemistry,화학
addition,"추가,증축부분,늘어난토지"
measure,"재다,…의치수를재다,재서꺼내다,판단하다,…의척도가되다"
vogue,"유행,유행품"
reserve,"남겨두다,삼가다,제외하다"
occasion,"경우,제전,적당한때,필수품"
dictator,"독재자,으스대는사람"
curiosity,호기심
disorder,"무질서,난잡,병,탈나게하다,장애를일으키다"
cast,"던지다,내던지다,던지다,던지다,던지다,던져내리다,던지다,던지다,걸다,기울이다,퍼붓다,주다"
cancer,암
well-being,행복
chamber,"방,침실,알현실,응접실,판사실,재판관집무실,변호사사무실,독신자용셋방,의원,회의소,실"
devil,"악마,마왕,정력가,다루기힘든사람"
barbarian,"야만인,야만스러운사람,교양없는"
stuff,"물질,위스키,본질"
scheme,"계획,사업계획,배합,일람표,요강"
legislation,"법률제정,법률"
symmetry,"대칭,균형미,균정,대칭"
pomp,"화려,허식적인것,화려한것"
antiquity,"낡음,시대에뒤떨어진사람,고사"
malice,악의
multitude,다수
bent,"BEND의과거·과거분사,변태의,미친,도둑맞은,동성애의,화가난,취한"
creed,"신경,사도신경"
procedure,"순서,진행,절차,수속,소송절차,처리"
standard,"표준,도덕적규범,군기문양"
boredom,"지루함,지루한일"
device,"장치,고안품,폭발물,책략"
greed,"탐욕,대식"
contagion,"접촉전염,악영향"
satire,"풍자,풍자작품"
hypothesis,"가설,단순한추측"
proposition,"제안,일,주제,명제"
perfume,"향수,향기로채우다"
miniature,"축소모형,축소물,소화상,세밀화법"
bond,"묶는것,속박,굴레,유대,결속,동맹,보증금,공채증서,노예"
providence,"섭리,천우"
compassion,측은히여김
domain,"영토,세력범위,소유지,도메인"
caricature,풍자만화
anguish,"격통,괴롭히다"
facility,"설비,기지,편의"
hygiene,"위생,건강법"
conspiracy,"음모,음모단,결탁"
accordance,일치
ecstasy,"무아경,환희"
censure,"비난,견책결의,견해,혹평하다"
allowance,"수당,용돈,참작"
campaign,"운동,선거운동,종군,운동을일으키다"
canal,"운하,만"
apparatus,기구
defiance,"도전,완강한반항,무시,도전"
craft,"기능,기술,수공업,공예,동업조합,프리메이슨단,비행기,우주선"
patent,"특허,표시,에나멜가죽의구두"
countenance,"표정,얼굴생김새"
pulse,"콩,맥박,고동,박자,박,의향,경향,물질의적용량,펄스,규칙적으로누르다"
implement,"도구,의복한벌,앞잡이"
insurance,보험
catastrophe,"대참사,큰재앙,파국,대실패,파멸,대단원"
accident,"사고,자동차사고,우연한일"
district,"지구,주자치구,선거구로나누다"
direction,"방향,목표,관리"
textile,"직물의,방직의,직물원료"
organ,"오르간,파이프오르간,리드오르간,장기,발성기관,기관지"
blood,"피,생혈,붉은수액,케첩,기질,혈연,가문,왕족,혈통,살인,희생,난봉꾼"
ray,"광선,시선,약간,방사상조직,지느러미줄기,가오리"
crop,"농작물,모든농작물,수확고,승마용채찍,발생"
drought,"가뭄,부족,슬럼프,목마름"
skin,"피부,수피,가죽으로만든기물,사기꾼,사람"
bone,"뼈,골질,신체,본스주자"
interest,"관심,이익관계,권리,주"
limit,"한계,제한,범위,제한하다"
haste,"급함,기민함"
bless,"축복하다,주다,정하게하다"
irritate,"무효로하다,짜증나게하다,염증을일으키다"
prolong,늘이다
postpone,연기하다
cooperate,"협력하다,협동하다"
refer,"알아보도록하다,속하는것으로하다,주목시키다"
permit,"허락하다,기회를주다,전갱이의일종"
exaggerate,"과장하다,지나치게강조하다"
emerge,"나오다,일어나다"
equip,"갖추어주다,장비하다,의장하다,채비를하다"
ornament,"꾸밈,훈장"
furnish,공급하다
advance,"나아가게하다,창도하다,선불하다,치르다"
embark,"태우다,사업에끌어넣다,배로향발하다"
flourish,"번창하다,꽃피다,잘자라다,활약하다,과시하다"
deprive,빼앗다
diminish,"줄이다,반음낮추다,끝을가늘게하다,권위를손상시키다,끝이가늘어지다"
derive,"끌어내다,…에기원을두다,추론하다,각색하다"
exchange,"교환하다,환전하다,교체하다,환전되다,주고받음,환,환시세,교환국"
rejoice,기쁘게하다
promote,"증진하다,고무하다"
nourish,"기르다,거름을주다"
inquire,묻다
ascertain,"확인하다,확정하다,규명하다"
swear,"맹세하다,단언하다,…할것을맹세하다"
celebrate,"축하하다,거행하다,종교적의식을행하다"
marvel,놀라운일
pray,"빌다,간청하다,희구하다"
reflect,"반사하다,상을비치다"
ascend,"오르다,올라가다,거슬러올라가다,저음에서고음으로연주하다"
descend,"내려가다,전해지다,낮아지다,옮아가다"
mention,"간단히말하다,이름을듦,선외가작"
quote,인용하다
occupy,"차지하다,소비하다,전념하다,빌려쓰고있다,거주하다,사용하고있다,…와교역하다"
surround,"둘러싸다,포위하다,포위하다,환경"
avail,"…에도움이되다,도움이되다,가치가있다"
preach,"설교하다,전도하다,설유하다,훈계하다,설명하다,권고하다,창도하다"
retire,"퇴직하다,식당에서응접실로물러나다,물러가다,뒤로물러나다"
argue,"논하다,논쟁하다"
graduate,졸업하다
affect,"…에영향을미치다,악영향을미치다,정동,…체하다"
unify,하나로하다
operate,"움직이다,조업하다,효과를나타내다"
condemn,"비난하다,유죄판결을내리다"
praise,"칭찬,찬양할만한사람"
forgive,"용서하다,눈감아주다"
deserve,"…할만하다,…할가치가있다"
correspond,일치하다
explore,탐험하다
recollect,"생각해내다,명상에잠기다"
fascinate,매혹하다
stir,"휘젓다,옮기다,자극하다,교도소"
exploit,"공훈,개척하다,착취하다"
contradict,"부정하다,반박하다,모순되다"
develop,"발달시키다,계발하다,전개하다,붙이다,밝히다,발병시키다,일으키다,전개하다,진화시키다"
approach,"…에다가가다,이야기를꺼내다,알랑거리다,접근하다"
emancipate,"해방하다,해방하다,끊다"
classify,"분류하다,기밀취급하다"
represent,"나타내다,대표하다"
reduce,"줄이다,축소하다"
wither,"시들다,시들어죽다,사라져가다,말라죽게하다"
astonish,놀라게하다
commit,"위탁하다,수용하다,위원회에회부하다"
claim,"요구하다,…을가진것을자랑하다,가치가있다,권리를주장하다"
seclude,"…에서떼어놓다,…에틀어박히다"
appoint,지명하다
animate,"…에생명을불어넣다,격려하다"
apply,"대다,가하다,켜다,바르다,충당하다,적용하다,전념하다"
disappoint,"실망시키다,실망하다"
trespass,"침입하다,침해하다,불법침해소송"
decide,"결심[결의]하다,결정하다,해결하다,"
afford,…할수있다
compete,"경쟁하다,참가하다"
perceive,"지각하다,깨닫다"
enchant,"요술을걸다,호리다"
consider,"잘생각하다,고찰하다,…할것을생각하다,…으로보다,존경받다"
transform,"변형시키다,변환하다"
amaze,몹시놀라게하다
expose,드러내다
penetrate,"…에꽂히다,통과하다,잠입하다,침투하다"
extend,"뻗다,치다,늘이다,확대해석하다,나타내다,보내다"
reside,"거주하다,주재하다"
confine,"한정하다,범위,한계"
exhibit,"전시하다,과시하다,전시하다,전람회"
extract,"뽑다,얻다,달여낸즙"
imply,"포함하다,…을뜻하다"
determine,"결심시키다,측정하다,한정하다,위치를결정하다,판결하다,결심하다"
indicate,"가리키다,표시하다,간단히말하다"
confront,직면하다
pierce,"꿰뚫다,관통하다,깊이감동시키다,뚫고들어가다"
dread,"무서워하다,꺼리다,우려하다,불안,우려"
foster,"육성하다,수양부모에게맡기다,돌보다,사랑하여아끼다"
cease,"그치다,그만두다,잔잔해지다"
convey,"나르다,전하다,옮기다"
rescue,"구출하다,해방하다,탈주시키다"
dismiss,"해산시키다,퇴거시키다,잊어버리다,각하하다"
disturb,"방해하다,…에게폐를끼치다,휘저어놓다,방해하다"
incline,"내키게하다,…으로향하게하다,기울이다,몸을기울이다"
languish,"기운이없어지다,동경하다,초췌해지다,풀죽다"
illustrate,설명하다
excel,vt.능가하다
mold,"틀,형판,제리틀,꼴,인체,전형,선례"
taint,"더러움,부패,폐해,상처,감염시키다,타락하다"
discharge,"짐을부리다,내리다,쏟다,내다,제대시키다,놓아주다,해고하다"
exceed,넘다
usher,"안내인,신랑의들러리,정리"
owe,"빚지고있다,나타낼의무가있다"
heed,…에주의하다
resemble,…을닮다
compose,"조립하다,조직하다,작곡하다,가라앉히다,가다듬다"
refrain,"후렴,그만두다"
relax,"늦추다,…의힘을빼다,나른해지다"
subscribe,"기부할것을약속하다,청약하다"
interfere,"방해하다,충돌하다"
share,"몫,할당,진력,주권,지분,주식,시장점유율,할당하다,가랫날,보습"
injure,"상처를입히다,손해를주다,화나게하다"
depend,의존하다
disperse,"흩뜨리다,패주시키다,해산시키다,흩어없어지게하다,분산배치하다,살포하다,분산시키다"
remove,"치우다,벗다,제거하다,해임하다"
realize,실감하다
cultivate,"경작하다,사이갈이하다,양식하다,교화하다,장려하다,닦다"
sum,"총계,총액,요점,계산"
throng,"군중,사람의떼,떼지어이동하다,모여들게하다"
scatter,"흩뿌리다,낭비하다,탕진하다,흩날려버리다,무산하다,안타를산발로처리하다,사라지다"
modify,"변경하다,umlaut에의해변화시키다,한정하다,변경하다"
intoxicate,취하게하다
offend,"성나게하다,해치다"
associate,"연상하다,결합시키다,협동하다,회합하다"
behold,보다
mingle,"섞다,교제하다,참가하다"
venture,"모험,모험적행위,투기의대상,위험,내걸다,대담하게도…하다"
invert,"거꾸로하다,전화시키다,성도착자"
collect,"모으다,모집하다,정기적으로받다,손에넣다,불러일으키다,마음을가다듬다,본기도"
complain,"불평하다,고발하다"
spoil,"망치다,썩히다,응석받다,만족하지못하게하다,부패하다"
mock,"조롱하다,흉내내다,헛되게만들다,조롱감"
recall,"상기하다,연상시키다,해임하다,취소하다,회상력"
reproduce,"재생하다,재연하다,복사하다,그리다,전재하다"
assemble,"모으다,모아정리하다,조립하여만들다,조립되다"
retreat,"퇴각,퇴각신호,귀영의나팔,은거처,후퇴하다"
punish,"벌하다,혹사하다"
settle,"놓다,자리잡게하다,안정시키다,가라앉히다,등이높은긴의자"
conceive,"상상하다,생각하다,품다,생각해내다,창설하다,이해하다"
disclose,"드러내다,폭로하다,털어놓다"
repair,"가다,의지하고가다,자주가는곳,수선하다,치료하다,수선작업,손질이잘된상태,보상"
repeat,"되풀이하다,다시경험하다,되풀이하여말하다,입안에뒷맛이남다"
degrade,"지위를낮추다,면목을잃게하다,붕괴시키다,변쇠시키다,위계를잃다"
amuse,"재미있게하다,즐기다"
obtain,"얻다,획득하다"
inform,"모양이없는,알리다,계발하다"
curse,"저주하다,불경한말을하다,불경한말을하다"
provide,"대주다,…을장치하다,성직자로지명하다"
refresh,"상쾌하게하다,충전하다,새로이공급하다"
manage,"이럭저럭해내다,어리석게도…하다,간신히…하다,감독하다,잘해가다,부리다,먹다"
confess,"자백하다,고해를듣다,인정하다,고해를듣다"
demonstrate,논증하다
stoop,"웅크리다,구부정하게서다,굴복하다,현관입구의층층대"
profess,"공언하다,…의교수가되다"
fade,"바래다,사라지다,나빠지다,시들다,쇠퇴하다,희미해지다,차츰안보이게되다,사라지다"
manufacture,"제조,생산,형성,제조업"
appeal,"애원하다,항의하다"
contend,"싸우다,다투다"
publish,"발표하다,표시하다"
interpret,"해석하다,해몽하다,설명하다"
entitle,"…의칭호를주다,표제를붙이다"
disregard,무시하다
ascribe,"…에돌리다,…의탓으로돌리다,의것으로하다"
astound,몹시놀라게하다
protect,보호하다
accommodate,"숙박시키다,수용하다,편의를도모하다"
progress,"전진,진보,진행되다,이동하다"
overtake,"따라잡다,추월하다,능가하다,…의마음을뺏다"
assist,"거들다,조장하다,도움이되다,어시스트를하다,보살,어시스트"
advocate,"옹호하다,주장하다"
attempt,"시도하다,등정을꾀하다,유혹하다"
partake,"참여하다,한몫끼다,함께하다"
greet,"울다,…에게인사하다,환영하다,…에게인사장을보내다"
suggest,암시하다
waste,"낭비하다,쇠약하게만들다,저하시키다,낭비되다,쇠약"
dissolve,"용해하다,분해하다,무효로하다,종료시키다,녹아서되다,녹듯이사라지다"
oblige,"…에게강요하다,…에게어쩔수없이…하게하다,빌려주다,고맙게여기게하다"
decline,"거절하다,종말에가까워지다,감퇴하다,팍숙이다"
accustom,익히다
defeat,쳐부수다
tempt,"유혹하다,돋우다,위험을무릅쓰다"
exempt,"면제하다,없애주다,면세자"
induce,"권유하다,설득하여…시키다,유도하다,인공적으로출산시키다"
oppress,"압박하다,심하게차별하다,우울하게만들다,진압하다"
acquaint,익히알게하다
impoverish,"가난하게하다,잃게하다"
resent,분개하다
abuse,"남용,강간"
bother,"괴롭히다,귀찮게조르다,소란,귀찮은사람"
shrink,"오그라들다,주름이잡히다,겁내다,줄어들게하다,찌푸리다"
compel,억지로…시키다
deliver,"배달하다,정식으로교부하다,분출시키다,던지다"
register,"등록부,명부,표,음전,스톱의손잡이,선적증명서"
coincide,"동시에일어나다,부합하다,의견을같이하다"
complicate,"복잡하게하다,이해하기어렵게하다,복잡한"
discern,"식별하다,발견하다"
