tradition,"전통,전통,전승"
dispute,"논쟁하다,논박하다"
remark,"…에주의하다,논평하다,감지하다"
supplement,"추가,보족하다,보유를달다"
debate,논쟁하다
humiliate,굴욕감을느끼게하다
explode,"폭발하다,논파하다"
narrate,"이야기하다,이야기하다"
administer,"관리하다,시행하다,주다,주다,공헌하다"
haunt,자주가다
dispense,"분배하다,시행하다,투여하다,면제하다,특면하다"
differ,다르다
eliminate,"제거하다,탈락시키다,소거하다"
dwell,"살다,규칙적인휴지"
assume,"사실이라고보다,당연한일로치다,추정하다,쥐다,띠다,사용하다"
apprehend,체포하다
capture,"붙잡다,포획하다,생포하다,점령하다,포착하다,점령,상품"
rear,"기르다,부양하다,재배하다,길들이다,뒤"
stare,응시하다
confer,"수여하다,비교하라"
discard,"버리다,폐기,버려진사람,버린패"
negotiate,"협상하다,뛰어넘다,뚫고나가다"
anticipate,"예기하다,기대하다,미리걱정하다,앞서다"
contrive,"고안하다,설계하다,획책하다"
consent,"동의하다,일치,찬성,조화"
defy,"무시하다,공공연히반항하다"
beware,조심하다
summon,"소환하다,출두를명하다"
thrive,"번영하다,성공하다,무성해지다"
subdue,"정복하다,압도하다,개간하다"
bloom,"꽃,한창,건강색,신선미,청순함,한창이다,괴철"
discriminate,"구별하다,…의차이를나타내다,차별적인"
sustain,"떠받치다,경험하다,맡다,기르다"
enforce,실시하다
transact,"집행하다,처리하다,거래하다"
support,"받치다,지탱하다"
cling,"달라붙다,착달라붙다,껴안다,달라붙다,접근을유지하다,따라서나아가다"
entrust,"맡기다,맡기다"
adhere,들러붙다
transmit,"부치다,보내다,투과시키다,전동하다,보내다,방송하다"
infect,"병독을퍼뜨리다,오염시키다,물들이다,범죄에관여시키다"
wrap,"싸다,실크천으로싸다,보호하다,다쓰다,요약하다,덮개"
inflict,"주다,괴롭히다"
undergo,받다
withstand,"저항하다,견디다"
withhold,"억누르다,주지않고두다"
adorn,꾸미다
accumulate,"모으다,쌓아올리다"
lurk,"숨다,숨어기다리다,잠복하다,밀행,사기,매복지,계획"
provoke,"화나게하다,약올리다,야기하다,선동하다"
trim,"다듬다,트림하다,잘라내다,화물창에싣다"
rebuke,비난하다
confirm,"굳게하다,굳게하다,추인하다"
conform,"따르게하다,맞게하다"
aspire,"열망하다,동경하다"
detach,"떼다,분리하다"
rebel,"반역자,남부백인,반대하다,반감을가지다"
repel,"쫓아버리다,물리치다,억제하다,튀기다,튀기다"
annihilate,"전멸시키다,무시하다,소멸시키다"
allude,암시하다
sting,"찌르다,얼얼하게하다,쿡쿡쑤시게하다,상하게하다,속여빼앗다"
allure,"꾀다,후리어들이다"
replace,제자리에놓다
console,"콘솔,조작탁자,관제용계기반,제어장치,콘솔,위로하다"
surmount,"오르다,타고넘다"
treat,"대우하다,향응하다"
swell,"부풀다,부어오르다,부풀다,붇다,밀려오다,파도치다,솟다,화내다"
sneer,"비웃다,비꼬다"
befall,vt.…에게일어나다
subside,"가라앉다,빠지다,침묵하다,가라앉다"
seize,"잡다,이용하다"
implore,간청하다
abandon,"버리다,하는대로내맡기다,자유분방,방종,자포자기"
deal,"나누어주다,…에종사하다,전나무널빤지"
steer,"수송아지,거세한황소,…의키를잡다,돌리다,키를잡다,야바위꾼이되다"
depress,"낙담시키다,낮추다,하락시키다"
inhabit,"…에살다,존재하다"
grant,"주다,수여,교부,증서"
muse,명상하다
attract,"끌어당기다,유인하다,얻다,매력이있다"
introduce,"소개하다,만나게해주다,들여오다,처음으로수입하다,채용하다,공식적으로소개하다,제출하다"
portray,"그리다,초상을그리다"
guarantee,"보증,보증서"
regulate,규제하다
presume,"가정하다,상상하다"
resume,"다시시작하다,대략"
lure,"매혹물,매혹,가짜미끼,함정"
award,"수여하다,…에게인정하다,재정,재정액"
multiply,"증가시키다,늘리다,곱셈기,다양하게"
spare,용서하다
grudge,"주기싫어하다,…하기싫어하다"
stroll,"한가로이거닐다,쉬운일"
execute,"실행하다,연기하다,연주하다,이행하다,양도하다"
imprison,교도소에넣다
proceed,"나아가다,옮아가다,고소하다"
recede,"반환하다,물러가다,멀어지다,떨어지다,거두다,내려오다"
ponder,"숙고하다,심사하다"
scratch,"할퀴다,슬근슬근긁다,말소하다,취소하다"
compare,비교하다
embrace,"포옹하다,껴안다,매수하다"
reckon,"세다,총계하다,합계…이되다,「수를세다」의뜻으로는count쪽이일반적"
throb,"고동치다,진동하다,진동하다"
suppress,억압하다
preoccupy,선취하다
salute,"경례하다,예포를쏘다,경례하다"
revise,교정하다
lessen,"적게하다,헐뜯다"
beguile,"속이다,현혹시키다,속여서…하게하다,보내다"
bid,"명령하다,선언하는차례,bisindie,broughtindead"
reap,"베어내다,작물을수확하다,올리다,보답을받다"
concede,"인정하다,승인하다,용인하다,패배를인정하다"
lade,"싣다,괴롭히다,떠내다"
deplore,"비탄하다,몹시한탄하다,비난하다"
precede,"앞서다,먼저일어나다,앞장서다,…의앞에두다,상위에위치하다"
banish,"추방하다,떨쳐버리다"
stifle,"…의숨을막다,숨막히게하다,억압하다,진압하다,억눌러없애다,들리지않게하다,질식하다,뒷무릎관절,무릎관절"
abound,"많이있다,가득하다,잘공급된다"
deposit,"두다,기탁하다,예금되다,보증금으로치르다,쌓이다"
retain,계속유지하다
sob,"흐느껴울다,쉭쉭소리내다,1파운드"
withdraw,"빼다,철수시키다,인출하다"
reprove,"꾸짖다,나무라다"
ally,"동맹시키다,동맹자,연합국"
renounce,"포기하다,그만두다,선서하고버리다,단념하다,…을부인하다,포기하다"
allot,"할당하다,가져다대다,지정하다"
assign,"할당하다,명하다,…으로하다,들다"
vow,"맹세,서원,헌신하다"
vouch,"보증하다,보증인이되다,단언하다,옳다고단언하다,증인을내세워변호하다"
carve,"베다,베어나누다,새겨서만들다,새겨넣다,쌓아올리다,조각하다"
verify,"증명하다,조회하다,확인하다"
ordain,"정하다,규정하다,명하다,임명하다,성직을주다"
avenge,복수를하다
confound,혼동하다
beckon,"손짓으로부르다,신호하다,끄덕임"
collapse,"무너지다,결렬되다,폭락하다,극도로쇠약해지다,허탈하다,좌절시키다"
mar,"흠가게하다,훼손하다,망쳐놓다,고장"
kneel,무릎꿇다
pant,"헐떡거리다,심장이마구뛰다,바지의"
warrant,"정당한이유,권능,위임장,면허장,창고증권,지불명령서,준위임명사령장,장담하다"
kindle,"낳다,불붙이다,자극하다"
uphold,"지지하다,유지하다"
disdain,"경멸하다,거드름"
prescribe,"규정하다,명령하다"
accompany,"동반하다,동시에일어나다"
abide,머물다
divide,"나누다,할당하다,가르다,격리하다,사이를갈라놓다"
paralyze,"마비시키다,쓸모없게만들다,무효케하다"
contain,"담고있다,함유하다,…와같다,나누어지다,봉쇄정책을쓰다,저지하다"
endow,"재산을증여하다,…의기금으로기부하다"
guard,"지키다,보호하다"
crash,"와르르,굉음,충돌,파괴,굉장한소리를내다,거친아마포"
burst,"파열하다,폭발하다,피어나다,홱열리다"
worry,"걱정시키다,물고흔들다,마음을졸이다"
military,"A군의,군인다운,군,육군장교"
trustworthy,신뢰할수있는
delicious,"맛좋은,향기로운"
manifest,"명백한,의식에나타난,표명하다,나타나다"
gradual,점차적인
voluntary,"자발적인,임의의,지원의,그악곡,즉흥곡"
stately,위풍당당한
proficient,익숙한
tropical,열대의
superfluous,"여분의,남아도는,부적절한"
eminent,"높은,저명한,훌륭한"
contrary,"반대의,P…에반하는"
feudal,영지의
fertile,"기름진,풍작을가져오는,풍부한,수정한"
intimate,"암시하다,친밀한,아늑한,상세한"
primary,"첫째의,최초의,원시적인,발달의제1단계에있는,1차의"
enormous,거대한
disinterested,"사심없는,이해관계없는"
magnificent,장려한
similar,"비슷한,닮은"
tranquil,조용한
commonplace,평범한일
artificial,"인조의,인공적인,조화,인조비료"
wretched,"비참한,불행한"
sovereign,"주권자,탁월한"
staple,"∪자못,주요산물,중요상품,짧은섬유,표준"
vital,"생명의,중추부"
moderate,"절제있는,보통의,알맞은,잔잔해지다"
casual,"우연의,태평한,변덕스러운"
stable,"마구간,동일회사에서생산된제품,안정된,견실한,안정성의"
royal,"왕의,왕실의,칙허의,왕권밑에있는,왕립의,멋진"
tiny,"작은,유아,하급생"
sufficient,충분한
tidy,"단정한,깨끗함을좋아하는,정연한,꽤좋은,만족스러운,기량이좋은,몸의상태가좋은"
acute,"격렬한,심한"
subjective,"주관의,상상의,개성적인"
ripe,"익은,난숙한,준비가다된,술취한"
arctic,"북극의,북극해"
parallel,"평행의,같은방향의,같은종류의,평행의,병렬의,유사점"
brief,"잠시의,단명한,짧은보고,짧은기사,소송사건"
slight,"근소한,가벼운,취약한,모욕하다"
inevitable,"피할수없는,필연적인"
perpetual,"영속하는,항상유효한,그칠사이없는,다년생식물"
reckless,앞뒤를가리지않는
vast,광대한
immense,거대한
tremendous,"거대한,중대한"
innocent,"순진한,사람좋은,단순한,죄없는,악성이아닌,알아채지못하는"
divine,"신의,신성의,신이준,종교적인,신에게바친,아주훌륭한"
tedious,지루한
domestic,"가정의,자국의,집에서짠천"
huge,"거대한,막대한"
colloquial,"구어의,무교육자의말과는다름."
vacant,"빈,없는,멍한"
reluctant,"마음내키지않는,마지못해하는"
sceptical,회의적인
awkward,"어색한,서투른,때가좋지않은,어색한,위험한"
scanty,"부족한,빈약한"
inherent,고유의
extravagant,"낭비하는,터무니없는"
aware,P알아차리고
ignoble,저열한
shy,"vt.던지다,내던지다,겨냥,기회,수줍은,꺼리는"
frank,"솔직한,무료송달우편물"
spontaneous,"자발적인,특발의"
visible,눈에보이는
inferior,"하위의,아래쪽의,하등의,지평선아래의"
ashamed,부끄러워
capable,"유능한,가능한,수용할수있는"
keen,"날카로운,강렬한,빈틈없는,섬세하게인식하는,열중한,열망하는,장례식노래,통곡,울며슬퍼함"
exact,"정확한,가차없이거두다"
utmost,최대의
dumb,"말못하는,벙어리와다름없는,무언의,말로표현할수없는"
fierce,"사나운,거센,치열한"
faint,"희미한,내키지않는"
affirmative,"긍정의,긍정"
guilty,…의죄를범한
firm,"굳은,안정된,충분한,상회"
diverse,"다른종류의,여러가지의"
plain,"한탄하다,푸념하다,명백한,쉬운,조야한,예쁘지않은"
stupid,"어리석은,화나게하는"
fatal,"치명적인,파멸적인,중대한"
fluent,"유창하게말하는,유연한"
tolerable,참을수있는
mechanical,"기계의,기계로만든,도구를다룰줄아는"
elastic,"탄력있는,휘기쉬운,활달한,융통성이있는,고무줄이든천"
upright,"똑바로선,똑바른,공정한"
permanent,"영속하는,내구의,종신의,변색하지않는"
hideous,"끔찍한,흉측한"
uniform,"한결같은,균일한,일정한운동복"
ardent,"불타는듯한,열렬한"
liable,"책임져야할,납입할의무가있는,처해져야할,여지가있는"
discreet,"사려있는,신중한,예의바른,조심스러운"
informal,"형식을따지지않는,평상복의"
daring,"모험적인기상,대담성,참신함,앞뒤를헤아리지않는,혁신적인"
frugal,절약하는
aggressive,"침략적인,억척스러운"
invalid,"타당하지않은,병약한,환자용의,지체부자유자,병자로취급하다"
actual,현실의
holy,"신성한,신께바치는,성자의,지순한,종교상의"
sensitive,"민감한,과민한,상하기쉬운,요주의의"
periodical,정기간행의
human,"인간의,인간으로이루어지는,인간과같은,인간적인,인간에게흔히있는"
numerous,다수의
rapid,"빠른,서두르는"
inborn,"타고난,유전성의"
vain,"헛된,뽐내는,공허한"
obvious,명백한
idealistic,이상주의의
undaunted,겁내지않는
indifferent,무관심한
timely,"때에알맞은,시기에알맞은"
prompt,"즉석의,즉시…하는,즉시불의,시간을지키는,촉구하다"
clumsy,"꼴사나운,서투른"
imperial,"제국의,최고권력을가진,거만한,제정러시아의금화"
atomic,"원자의,원자폭탄의,막대한"
intent,"집중된,P열중하여,의지,목적"
private,"사적인,사용의,개인의,친전의"
positive,"명확한,결정적인,명문화된,독단적인"
lofty,"매우높은,거만한"
mental,"턱의,마음의,머리가돈"
official,"공무원,임원"
humble,"겸손한,소박한,얼마안되는,하찮게보다,천하게하다"
harsh,"거친,잔인한"
loyal,충성스러운
pathetic,감상적인
liberal,"자유주의의,활동의자유를인정하는,인색하지않은"
perpendicular,"수직의,P직각을이룬,수직면,수직측정기"
technical,"기술의,좋은기량을갖춘,엄밀한법해석에의한"
medieval,중세의
prime,"준비시키다,휘발유를주입하다,제1의,수위의,근본의,훌륭한"
gloomy,어두운
partial,"일부분의,불완전한"
stout,"뚱뚱한,단호한,비만형의의복"
civil,"시민의,집단활동을하는,속인의,국내의,정치가조직화된,문명화된"
exquisite,"아주아름다운,더없이훌륭한,우아한"
local,"공간의,지방프로"
principal,"주요한,중요한,제일의,장,장관,사장,교장,결투의장본인"
sinister,"불길한,재앙이되는,왼쪽의"
previous,A앞의
prone,경향이있는
silly,"어리석은,바보같은"
reverse,"역,반전,뒷면,왼쪽페이지,후진,역전장치,역전,역회전"
slender,"호리호리한,가냘픈,빈약한"
strenuous,"분투적인,격렬한,정력적인"
futile,"헛된,쓸데없는,무익한"
raw,"날것의,덜익은,다루지않은,물타지않은,무두질되지않은,포장되지않은"
wicked,"심술궂은,버릇이나쁜,당치않은,심한,매우귀찮은"
sheer,"침로에서빗나가다,방향을바꾸다,…의방향을바꾸게하다,닻하나로정박한배의위치,진로를바꾸는일,얇은,물을타지않은,정면으로"
relative,"친척,상대적의미를가진말,상대적존재,상대적인"
hardy,"단련된,뻔뻔스러운,무모한"
solid,"고체의,고체에관한,속까지단단한,실속있는,튼튼한"
rural,시골의
sly,"교활한,불법의"
sober,"술취하지않은,근실한,진실한"
stiff,"뻣뻣한,강력한,부자연스러운,맹렬한,팽팽한,엄청난"
tame,"길든,두려워하지않는,무기력한"
destitute,"P결핍한,가난한사람들"
tough,"질긴,끈기있는,차진,꺾어지지않는,불굴의,완고한,터프한"
steady,"확고한,흔들리지않는,떨지않는,불변의,절제있는"
innumerable,셀수없이많은
steadfast,고정된
drastic,"격렬한,철저한"
vertical,"수직의,수직의위치"
selfish,이기적인
vile,"비열한,하등의,혐오감을주는,불결한,졸렬한,꼴불견의"
alert,"방심하지않는,경계,경계태세,경계경보기간,경고,주의하다,경계시키다"
figurative,비유적인
appropriate,사용에쓰다
indebted,"부채가있는,신세를진"
approximate,"가까워지다,비슷해지다,…와비슷하다"
flexible,구부리기쉬운
smart,"눈치빠른,재치있는,조숙한,건방진"
gallant,용감한
haughty,오만한
astray,"길을잃고,못된길에빠져"
consistent,일관된
compulsory,"강제적인,의무적인,필수의"
ingenious,재간있는
naughty,"개구쟁이의,외설적인"
notable,"주목할만한,유명한,중요한,유명한것,명사의원"
potent,"강력한,영향을미치는,중요한"
dismal,"음침한,우울한,무시무시한,음산한것,소택지"
eccentric,"별난,편심궤도를그리며이동하는"
predominant,"우세한,탁월한,주권을가진,널리퍼진"
serene,"고요한,맑게갠,조용한,평온한바다"
sanitary,A위생의
petty,"작은,보잘것없는,비열한"
simultaneous,동시에일어나는
prominent,"현저한,중요한"
steep,"가파른,심하게힘든,낭떠러지,적시다,함빡젖게하다,깊이배어들게하다,열중시키다,완전히빠지다,…에넘쳐흐르다"
prodigal,"낭비하는,방탕한,아낌없는,방탕한자식,금치산자"
prudent,"신중한,분별있는"
sullen,"부루퉁한,기분이언짢은,가라앉은,완만한"
righteous,"바른,정직한,굉장한"
sterile,"불모의,흉작의,단종한,미생물이없는,열매를맺지않는,박력없는,독창성없는"
transient,"덧없는,뜨내기노동자"
rigid,"단단한,고정된,경식의,엄밀한"
senior,"손위의,고급의,수석의,고로"
quaint,"기묘한,기인"
sagacious,"현명한,기민한"
plausible,그럴듯한
potential,가능한
unprecedented,"전례가없는,새로운"
robust,강건한
ample,충분한
akin,"혈족의,유사한,동족의"
cordial,"마음에서우러난,강심성의,과일주스에물·설탕을탄음료"
coarse,"조잡한,굵은,귀에거슬리는,상스러운,정련되지않은"
vehement,격렬한
venerable,"존경할만한,존귀한,가경자"
compatible,"P양립할수있는,화목하게지낼수있는,호환성이있는"
weary,"피곤한,지루한,없음을매우서운히여기다"
complacent,"마음에흡족한,무관심한"
whimsical,변덕스러운
corrupt,"타락한,틀린곳이많은,오류가있는,썩은"
wholesome,"건전한,안전한"
credulous,"잘믿는,속기쉬운"
abrupt,"갑작스러운,급한"
devoid,결여된
alien,"외국의,외국인의,외래의,반대의,이종의,거류외국인,따돌림당하는자,외계인,귀화식물"
capricious,변덕스러운
shabby,"초라한,보잘것없는,인색한"
dreary,"적적한,황량한"
outstanding,"눈에띄는,저명한"
erroneous,"잘못된,정도를벗어난"
pensive,생각에잠긴
forlorn,"버림받은,빼앗긴"
gorgeous,"호화스러운,아주재미있는"
impudent,"뻔뻔스러운,경솔한,무례한"
pertinent,"적절한,속하는"
frivolous,"천박한,어리석은"
genial,"턱의,정다운"
insolent,건방진
indolent,"게으른,무활동의,진행이더딘"
ruthless,"무자비한,냉혹한"
incessant,끊임없는
myriad,"무수,막대한,무수한면을가진,1만의"
legitimate,합법적인
wistful,"탐내는,그리워하는"
air,"공기,아리아,공군,라디오"
art,"예술,미술,예술작품,삽화,직업,동업자의조직,교양과목,숙련,작위,be의제2인칭단수직설법현재형"
promise,"약속,주기로약속하다,…할듯하다,작정하다"
sentence,"문장,형에처하다"
scale,"비늘,인편,인분,딱지,꼬투리,산화물의조각,이똥,저울눈,잣눈,비례자,장치,계급,척도"
society,"회,지역사회,사회관습,상류사회"
tongue,"혀,치설,말하는능력,지껄임,말주변,외국어,방언,혀"
turn,"돌리다,틀다,켜다,켜다,측면을우회하다,…의의표를찌르다,무디게하다"
regard,"…으로여기다,존중하다,존경하다,주의하다,눈여겨보다"
nature,"자연,자연계,자연력,창조주,자연물,충동,활력,육체적욕구"
order,"순서,대형,계급,등급,집단"
calling,"천직,점호"
right,"바른,선량한,정당한,정확한,걸맞는,더할나위없는,우익의,직각의"
reason,"이유,분별"
respect,"존경,중요시하다"
sport,"스포츠,웃음거리,플레이보이"
plant,"식물,생육,기계장치,시설,경찰의첩자"
pass,"지나가다,나아가다,건너다,돌려지다,흐르다,실시되다"
passage,"일절,이주,도항권,통행허가,수로,복도,관,여행의권리,승차권,비스듬히옆걸음치며가다"
gift,"선물,증여권,아주간단한일"
image,"상,관념"
world,"세계,천체,인류,이승,세태"
state,"상태,긴장상태,위기,높은지위,국토,주"
notice,"통지,고지,성적불량의통지,인지,흥미,호의,경의,비평"
part,"부분,일부,대사"
party,"파티,부대,당파심,문제의인물"
press,"내리누르다,꽉껴안다,손을꽉쥐다,조르다,강제징집하다,징발하다,강제모집"
reach,"…에도착하다,…에달하다,총…가되다,…을잡다"
debt,빚
case,"경우,사실,문제,케이스,대상,소송사건,문제,변호의뢰인,조숙한아이,상자,집,주머니,겉포장,테,덮개,한조,싸다,화장판으로마무리하다"
event,"사건,대사건"
end,"끝,마지막,끝나는곳,막다른곳,첨단,결미,멸망,최후,죽음의원인"
everything,무엇이든지
somebody,어떤사람
nobody,"아무도…않다,무명인"
article,"기사,한개,계약,도제계약"
match,"성냥,어울리는사람,배우자,짝,대등한사람,결연"
hand,"손,앞발,손,집게발,송이,손표,바늘,고용인,선원,특수한수완을가진사람"
might,"…할지도모르다,힘,완력,우세"
life,"생명,수명,인생,일생,유효기간"
lot,"제비,제비뽑기,추첨,몫,토지의한구획"
chance,"기회,승산,가망,형세,운,우연히생긴일"
leave,"허가,잎을내다"
fast,"단식하다,금식하다,금식,정진,단식일,단식기간,재일,빠른,빨리되는,속구를던지는"
fancy,"공상,심상,변덕,추측,심미안"
game,"상처입은,놀이,게임,게임,경기회,운동경기,경기대회"
ground,"지면,해저,얕은바다,입장,GRIND의과거·과거분사"
want,"원하다,찾다,지명수배하다"
line,"교미하다,끈,전선,전화선,전화,묘선,선,선,선체선도,솔기,주름살,손금,라인,한절,행"
letter,"세준사람,편지,자체,교양,학문의초보,문필업,써넣다"
will,"의지,의향,명령,유언장,…할것이다"
day,"하루,특정일,그시대,현대,일생"
ball,"무도회,공,야구,용기"
duty,"의무,의리,군무,종무,부과금"
cause,"원인,근거,운동,대의,결정을요하는사항,사유"
school,"떼,학교,교사,도장,수업이있는날,대학원,그건물,대학"
blow,"강타,꽃이피다"
dish,"큰접시,식탁용접시류,한접시,파라볼라안테나"
term,"교제관계,사이,요구액,술어,한계점"
draw,"당기다,끌어당기다,잡아채다,매듭을풀다,따르다,퍼내다,달이다,긋다,묘사하다"
study,"공부,연구"
score,"득점,총득점,회계기록,위치,20파운드"
picture,"그림,영화,영화산업,미관,풍경,광경,화면,심상"
break,"깨다,쪼개다,둘로꺾다,꺾다,…의관절을삐게하다,상처나게하다"
quarter,"4분의1,1분기,3개월마다의지불,1/4마일,1/4마일경쟁,쿼터"
race,"인종,인류,민족,국민,가계,명문출신,자손,특징,독특한맛,신랄함,생강의뿌리"
spell,"주문,마력,호리다,철자하다,…을의미하다"
field,"들판,건조장,현장,문지,계,필드"
exercise,"운동,체조,습작,교련,행사,실행"
train,"열차,차량1대는car"
note,"기록,각서,원고,통고서,각서,키"
drink,"마시다,흡수하다,…에정신이팔리다,깊이들이마시다"
mine,"나의것,나의가족,광산,탄갱,탄광,지뢰,수뢰,땅굴을파다,지뢰로폭파하다"
side,"쪽,편,팀,관찰면,면,강가"
toll,"울리다,종을울려보내다,유혹하다,종을치다,종으로알리다,종소리,사용세,사상자수,장거리전화"
safe,"안전한,확실히…하는,확실한,괜찮은"
dawn,"새벽,나타나기시작하다"
store,"가게,식료품점,잡화점,저장용의"
succession,"연속,계승권,왕위계승권,상속자들"
stand,"서다,세워져있다"
fix,"고착시키다,명확하게하다,새겨두다,정하다,확정하다,있게하다,정하다"
better,…보다나은
meet,"적당한,만나다,보이다,만나다,…에연락하다"
observe,"알다,간취하다,깨닫다,인정하다,주시하다,관측하다"
consult,"의견을묻다,보이다,보다"
head,"머리,우유표면에뜨는크림"
practice,"습관,실지,경험,실용서,사건의뢰인,상투수단"
sell,"팔다,팔다"
start,"출발하다,일어나다"
raise,"올리다,높이치켜들다,일으키다,올리다,세우다,끌어올리다,높이다,기립하다,지르다"
help,"돕다,거들다,촉진하다,…하는것은어쩔수없다"
object,"물건,물건"
count,"백작★comte,세다,산출하다,세다,가치가있다,포함되다"
matter,",명제의본질,원고,중요한일"
cost,"운임보험료포함가격,비용,들게하다,주다"
tell,"고대건축의잔존물이누적되어생기는언덕,말하다"
miss,"…양,놓치다,…에닿지못하다,만나지못하다,듣지못하다,이해하지못하다,지키지못하다,결석하다"
read,"READ의과거·과거분사,읽다,음독하다,판독하다,교정하다"
run,"달리다,급히가다,돌진하다,땅바닥으로뻗다,활주하다,잠깐다녀오다,…에돌진하다"
spring,"튀다,벌떡일어서다"
master,"주인,지배자,선장,고용주,소유주,임자,가장,교장,대가"
mean,"평균의,보통의,중등,의미하다,…의뜻으로말하다,예정하다,…의전조이다"
strike,"치다,때리다,떨어져서…에맞다"
move,"움직이다,뒤흔들다,감동시켜…시키다"
become,…이되다
land,뭍
cover,"덮다,뚜껑을덮다,싸다,감싸다"
fall,"떨어지다,빠지다,흐르다,벗겨지다"
gain,"얻다,얻다,회복하다,이익보다,자기편으로끌어들이다,달성하다,앞서다,홈,장붓구멍"
sound,"해협,소리,음성,사운드"
till,"표석점토,갈다,연구하다"
sort,"종류,품질,종류의것,여자친구,가려내다,배달구별로나누다"
lose,"잃다,상실하다,잃다,길을잃다,모습이보이지않게되다"
steal,"훔치다,어느새지나가다"
say,"말하다,말로나타내다,말하다,…이라고말하다"
own,"자기자신의,고유한,자신의독특한것"
tax,세
stick,"찌르다,관통시키다,찔러죽이다,주사를놓다,고정시키다,막대기,벌,압력,혹평,성냥개비,전신주,전신기사가쓰는연필,촛대"
shoot,"쏘다,내던지다,내버리다,뻗치다,손목쪽으로잡아당기다,내밀다,던지다,내뿜다,이런"
lead,"납,연제품,함석지붕,납틀,흑연,연필심,인도하다,데리고가다,…에서첫째이다"
occur,"일어나다,…에존재하다,출현하다"
date,"날짜,금일,기일,날짜를매기다,대추야자"
touch,"…에대다,건드리다,…의대다,촉진하다,치다"
answer,"대답,응보,변명,받다"
fail,"실패하다,낙제하다,이루지못하다,꼭…하다,흉작이되다,시들다"
hold,"배의짐칸,화물실,들다,받치다,대고있다,안다,수용하다,함유하다,보관하다,점유하다,가지고있다,막다"
make,"만들다,이루다,창조하다,창작하다,작성하다,제정하다"
remain,"…대로이다,잔해"
bear,"지탱하다,낳다,…할필요가있다,몰다,처신하다,곰,곰비슷한동물,추녀"
follow,"…의뒤를잇다,…의뒤에일어나다,수행하다,따르다,보고따르다"
rest,"휴식,수면,안심,평온,무덤,휴지,중간휴지,조준대,큐걸이,발판,창받침"
prize,"상,상품으로서얻은,포획물,나포선,포획한재산"
narrow,"폭이좁은,가는,협의의"
good,"좋은,우의"
engaging,남의마음을끄는
minute,"분,잠깐,의사록,미소한,정밀한,세심한"
bright,"빛나는,밝은,재치있는,좋은,명랑한,유망한,명백한"
happy,"행복한,즐거운,만족한"
choice,"선택,선정,선택의기회,두가지중한쪽,특선품,멋진"
pretty,"예쁜,예쁘장한,기분좋은"
short,"짧은,약한,단축한,성미가팔팔한"
net,"그물,계략,그물세공,그물레이스,거미줄,네트워크,에누리없는,순…,정가,네트,이익을올리게하다"
simple,"간단한,수수한,성의있는"
fit,"맞다,적응시키다,맞추다,입혀보다,달다,발작,경련,변덕"
novel,"소설,새로운"
due,"지불기일이된,A정당한,…하기로되어있는"
trying,"견딜수없는,지치는"
lean,"기대다,야윈"
fair,"공정한,온당한,페어의,대단한,철저한,미의,품평회"
fine,"종지,A훌륭한,쾌적한,가는,고운"
single,"A단하나의,독채의,독신의,일편단심의,단식의"
singular,"남다른,기이한,단수의,단칭의,단수형의낱말"
poor,"가난한,보잘것없는,불모의,바람직하지못한,고르지못한,나쁜"
free,"자유스러운,자주의,속박이없는,자유로운,마음대로의"
flat,"평평한,평탄한,얕은,편평한,납작하게쓰러진,플랫,플랫식공동주택"
proof,"증명,입증,증거물,시험소,시험관,논증,검토,검산"
long,"긴,긴컵에담아내는,애타게바라다,열망하다"
last,"계속하다,지속하다,오래가다,구둣골"
very,대단히
well,"만족스럽게,바르게,친하게,충분히,충분히,우물,정,광천,광천지,통풍용세로구멍,용기"
otherwise,"만약그렇지않으면,그렇지않게"
ready,"준비가된,능숙한"
dead,"죽은,말라죽은,자버린,잠잠한,P감각이없는,생기가없는,흐릿한,활발하지않은,김빠진"
subject,"주제,연제,화제,피사체,신하,피지배자"
possibly,아마
barely,간신히
practically,"실지로,사실상,실용적으로"
altogether,"전적으로,전혀"
concerning,…에관하여
presently,이윽고
home,"가정,가정환경,가정생활,본국,고향같은곳,원산지,발상지"
abroad,국외로
but,"그러나,부엌"
over,"…위쪽에,…으로튀어나와"
within,…이내에
above,"…보다위에,…을넘어,위층에"
after,뒤에
save,"…을제외하고는,구하다,모면하게하다,지키다,절약하다,소중히하다"
equal,"같은,서로맞먹는,평등한,평평한,바른,동배"
despite,"…에도불구하고,위해,악의"
